authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"M. Carrano","M. Carrano",,28930,"R. A.",Thulborn,,,,1991,"Morphology, preservation and palaeobiological significance of dinosaur coprolites","Palaeogeography, Palaeoclimatology, Palaeoecology",,83,,341,366,"journal article","none discussed",English,,,ETE,,"2009-01-08 09:04:55","2009-01-09 04:04:55"
"J. Hunter","M. Hall","T. Liebrecht",9114,H.,Tobien,,,,1977,"Ein Gewöllrest mit Megacricetodon (Rodentia, Mammalia) aus dem Obermiozän von Öhningen (Baden-Württemberg)","Berichte der Naturforschenden Gesellschaft zu Freiburg im Breisgau",,67,,359,369,"journal article","stated without evidence",German,,,5%,34540,"2003-09-05 12:52:36","2012-11-26 12:34:43"
"P. Holroyd","P. Holroyd",,58367,T.,Tütken,J.,Absolon,,2015,"Late Oligocene ambient temperatures reconstructed by stable isotope analysis of terrestrial and aquatic vertebrate fossils of Enspel, Germany","Palaeobiodiversity and Palaeoenvironments",,95,,17,31,"journal article","stated without evidence",English,10.1007/s12549-014-0183-7,,,,"2016-03-05 23:32:26","2016-03-06 16:32:26"
"R. Butler","R. Butler",,30893,"D. M.",Unwin,,,,1996,"The fossil record of Middle Jurassic pterosaurs","The Continental Jurassic, Museum of Northern Arizona Bulletin","M. Morales",60,,291,304,"book/book chapter","stated without evidence",English,,,,,"2009-10-12 08:32:16","2009-10-13 02:32:16"
"M. Carrano","M. Carrano","M. Carrano",52560,P.-J.,"Van Beneden",,,,1878,"Sur la découverte de reptiles fossiles gigantesques dans le charbonnage de Bernissart près de Péruwelz [On the discovery of gigantic fossil reptiles in the Bernissart coal mine near Péruwelz]","Bulletin de l'Academie Royale des Sciences, des Lettres et des Beaux-Arts de Belgique, série 2",,45,,578,579,"journal article","stated without evidence",French,,,,,"2014-09-03 16:13:21","2014-09-04 07:15:13"
"M. Carrano","M. Carrano",,52561,P.-J.,"Van Beneden",,,,1881,"Sur l'arc pelvien chez les Dinosauriens de Bernissart [On the pelvic arch in the dinosaurs of Bernissart]","Bulletin de l'Academie Royale des Sciences, des Lettres et des Beaux-Arts de Belgique, série 3",,1,,600,608,"journal article","stated without evidence",French,,,,,"2014-09-03 16:16:50","2014-09-04 07:16:50"
"M. Carrano","M. Carrano",,52558,P.-J.,"Van Beneden",,,,1883,"Seconde communication sur la découverte de l'Iguanodon de Bernissart [Second communication on the discovery of the Iguanodon of Bernissart]","Bulletin de l'Academie Royale des Sciences, des Lettres et des Beaux-Arts de Belgique, série 3",,6,,219,226,"journal article","stated without evidence",French,,,,,"2014-09-03 15:25:37","2014-09-04 06:25:37"
"M. Carrano","M. Carrano",,52559,P.-J.,"Van Beneden",,,,1883,"Sur ce qu'il faut entendre par le mot DÉCOUVERTE, à propos des Iguanodons de Bernissart [On what is meant by the word DISCOVERY, regarding the Iguanodons of Bernissart]","Bulletin de l'Academie Royale des Sciences, des Lettres et des Beaux-Arts de Belgique, série 3",,6,,25,27,"journal article","stated without evidence",French,,,,,"2014-09-03 15:28:01","2014-09-04 06:28:01"
"M. Carrano","M. Carrano","M. Carrano",36224,E.,"Van den Broeck",,,,1902,"Nouvelles observations relatives au gisement des Iguanodons de Bernissart (première partie). Étude critique sur les coupes et figures du gisement de Bernissart dressées et publiées par M. Éd. Dupont [New observations regarding the Iguanodon locality of Bernissart (first part). Critical study of the sections and figures of the Bernissart locality drawn up and published by Mr. Éd. Dupont]","Procès-Verbaux de la Sociéte Belge de Géologie de Paléontologie et d'Hydrologie, deuxième série",,13,,6,11,"journal article","stated without evidence",French,,"vol. 3 or ser. 2; for 1899",ETE,,"2011-05-19 06:56:11","2011-05-19 06:59:13"
"M. Carrano","M. Carrano",,36225,E.,"Van den Broeck",,,,1902,"Nouvelles observations relatives au gisement des Iguanodons de Bernissart (deuxième partie). Étude par sondage des dépôts de recouvrement de la région des puits naturels de Bernissart. Le Cran du Nord et le sondage horizontal de 1864, au Cran du Midi [New observations regarding the Iguanodon locality of Bernissart (second part). Survey study of the covering deposits from the region of the natural wells of Bernissart. The North Notch and the horizontal survey of 1864, at the South Notch]","Procès-Verbaux de la Sociéte Belge de Géologie de Paléontologie et d'Hydrologie, deuxième série",,13,,175,181,"journal article","stated without evidence",French,,"vol. 3 of ser. 2; for 1899",ETE,,"2011-05-19 06:59:41","2011-05-19 06:59:41"
"M. Carrano","M. Carrano",,23463,M.,Venczel,J.,Gardner,,2003,"The geologically youngest albanerpetontid amphibian","Journal of Vertebrate Paleontology",,23,"3, suppl.",106A,,abstract,"stated without evidence",English,,,ETE,,"2007-03-09 13:14:17","2007-03-10 08:14:17"
"P. Mannion","P. Mannion",,44192,M.,Venczel,"J. D.",Gardner,,2005,"The geologically youngest albanerpetontid amphibian, from the Lower Pliocene of Hungary",Palaeontology,,48,6,1273,1300,"journal article","stated with evidence",English,,,,,"2013-01-07 21:37:42","2013-01-07 21:37:42"
"J. Mueller","T. Liebrecht",,55074,M.,Venczel,J.,Hír,,2013,"Amphibians and Squamates from the Miocene of Fels&#337;tárkány Basin, N-Hungary","Palaeontographica, Abteilung A: Paleozoology – Stratigraphy",,300,1–6,117,158,"journal article","stated without evidence",English,,,,,"2015-04-17 09:02:18","2015-04-18 00:02:18"
"J. Mueller","T. Liebrecht","T. Liebrecht",44504,M.,Venczel,B.,Sanchíz,,2006,"Lower Miocene Amphibians and Reptiles from Oschiri (Sardinia, Italy)",Hantkeniana,,5,,72,75,"journal article","stated without evidence",English,,"Abstracts volume of the 4th annual meeting of the European Association of Vertebrate Paleontologists",,,"2013-01-29 03:08:17","2013-01-29 03:09:10"
"J. Mueller","T. Liebrecht","T. Liebrecht",43465,M.,Venczel,E.,Stiuca,,2008,"Late middle Miocene amphibians and squamate reptiles from Tau&#539;, Romania",Geodiversitas,,30,4,731,763,"journal article","stated without evidence",English,,,,,"2012-11-09 22:21:24","2012-11-09 22:22:57"
"J. Mueller","T. Liebrecht",,54746,M.,Venczel,G.,Vardai,,2000,"The Genus Elaphe in the Carpathian Basin: Fossil Record","Nymphaea – Folia Naturae Bihariae",,28,,65,82,"journal article","stated without evidence",English,,,,,"2015-03-27 15:48:30","2015-03-28 07:48:30"
"J. Mueller","T. Liebrecht",,56216,M.,Vianey-Liaud,B.,Comte,"B. Marandat, S. Peigné, J.-C. Rage, J. Sudre",2014,"A new early late Oligocene (MP 26) continental vertebrate fauna from Saint-Privat-des-Vieux (Alès Basin, Gard, Southern France)",Geodiversitas,,36,4,565,622,"journal article","stated without evidence",English,10.5252/g2014n4a4,,,,"2015-09-01 07:00:44","2015-09-01 22:00:44"
"R. Butler","R. Butler",,31124,R.,Vullo,"Á. D.",Buscalioni,"J. Marugán-Lobón, J. J. Moratalla",2009,"First pterosaur remains from the Early Cretaceous Lagerstätte of Las Hoyas, Spain: palaeoecological signi&#64257;cance","Geological Magazine",,146,,931,936,"journal article","stated without evidence",English,,,,,"2009-11-06 04:47:16","2009-11-06 23:47:16"
"R. Benson","R. Benson",,42229,R.,Vullo,J.,Marugán-Lobón,"A. W. A. Kellner, A. D. Buscaloni, B. Gomez, M. de la Fuente, J. J. Moratalla",2012,"A new crested pterosaur from the Early Cetaceous of Spain: the first European tapejarid (Pterodactyloidea: Azhdarchoidea)","PLoS ONE",,7,7,e38900,,"journal article","stated without evidence",English,10.1371/journal.pone.0038900,,,,"2012-07-06 18:16:11","2012-07-06 18:16:11"
"M. Carrano","M. Carrano",,42164,M.,Waldman,"S. E.",Evans,,1994,"Lepidosauromorph reptiles from the Middle Jurassic of Skye","Zoological Journal of the Linnean Society",,112,,135,150,"journal article","stated without evidence",English,,,,,"2012-06-29 01:58:13","2012-06-29 01:58:13"
"M. Clapham","M. Clapham",,39518,S.,Wedmann,,,,1998,"First records of fossil tremecine hymenopterans",Palaeontology,,41,,929,938,"journal article","stated with evidence",English,,,,,"2012-01-19 17:48:02","2012-01-19 17:48:02"
"M. Bell","M. Bell",,47044,S.,Wenz,"F. J.",Poyato-Ariza,,1994,"Les Actiopterygiens juveniles du Cretace Inferieur du Montsec et de Las Hoyas (Espagne)",Geobios,,16,,203,212,"journal article","stated without evidence",French,,,,,"2013-06-04 22:28:05","2013-06-04 22:28:05"
"M. Carrano","M. Carrano",,19438,C.,Werner,,,,1993,"Late Cretaceous continental vertebrate faunas of Niger and northern Sudan","In U. Thoerweihe & H. Shandelmeier (eds.), Geoscientific Research in Northeast Africa. A. A. Balkema, Rotterdam",,,,401,405,"book/book chapter","stated without evidence",English,,,ETE,,"2006-12-20 06:26:29","2006-12-21 01:26:30"
"M. Carrano","M. Carrano",,19439,C.,Werner,,,,1993,"Eine neue Fundstelle terrestrischer Wirbeltiere aus der Kreide des Sudan [A new terrestrial vertebrate locality from the Cretaceous of Sudan]","In R. Kohring (ed.), Miscellanea Palaeontologica 2. Berliner Geowissenschaften Abhandlungen, Reihe E 9",,,,201,209,"serial monograph","stated without evidence",German,,,ETE,,"2006-12-20 06:34:34","2006-12-21 01:34:38"
"M. Carrano","M. Carrano",,19440,C.,Werner,,,,1994,"Die kontinentale Wirbeltierfauna aus der unteren Oberkreide des Sudan (Wadi Milk Formation) [The continental vertebrate fauna of the lower Upper Cretaceous of Sudan (Wadi Milk Formation)]","In R. Kohring & T. Martin (eds.), Miscellanea Palaeontologica 3: Festschrift Bernard Krebs. Berliner Geowissenschaften Abhandlungen, Reihe E 13",,,,221,249,"serial monograph","stated without evidence",German,,,ETE,,"2006-12-20 06:36:10","2006-12-21 01:36:14"
"M. Carrano","M. Carrano",,17192,H.,Woodward,,,,1885,"On Iguanodon mantelli, Meyer","Geological Magazine, decade 3",,2,1,10,15,"journal article","stated without evidence",English,,,ETE,,"2006-04-19 06:36:59","2006-04-19 23:37:02"
"M. Carrano","M. Carrano",,17190,H.,Woodward,,,,1895,"Note on the reconstruction of Iguanodon in the British Museum (Natural History), Cromwell Road","Geological Magazine, decade 4",,2,8,289,292,"journal article","stated without evidence",English,,,ETE,,"2006-04-19 06:24:27","2006-04-19 23:24:27"
"M. Carrano","M. Carrano",,18657,J.,Yans,J.,Dejax,"D. Pons, L. Taverne, P. Bultynck",2006,"The iguanodons of Bernissart (Belgium) are middle Barremian to earliest Aptian in age","Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Science de la Terre",,76,,91,95,"journal article","stated without evidence",English,,,ETE,,"2006-09-11 14:09:48","2006-09-12 07:09:48"
"M. Clapham","J. Karr","M. Clapham",36944,"F. E.",Zeuner,,,,1943,"The fossil Acrididae (Orth. Salt. ) Part IV Acrididae incertae sedis and Addendum to Catantopinae","The Annals and Magazine of Natural History, Eleventh Series",,11,,359,383,"journal article","stated with evidence",English,,,,,"2011-08-03 17:14:20","2013-04-03 07:48:29"
"M. Clapham","M. Clapham",,39570,"V. V.",Zherikhin,"V. G.",Gratshev,,2003,"A new weevil-beetle (Insecta, Coleoptera, Nemonychidae) from the Lower Cretaceous of Spain","Paleontological Journal",,37,,407,408,"journal article","stated with evidence",English,,,,,"2012-01-22 04:03:11","2012-01-22 04:03:11"
"L. van den Hoek Ostende","L. van den Hoek Ostende","L. van den Hoek Ostende",25476,R.,Ziegler,,,,2005,"The insectivores (Erinaceomorpha and Soricomorpha, Mammalia) from the Late Miocene hominoid locality Rudabánya","Palaeontographia Italica",,90,,53,81,"journal article","stated with evidence",English,,,,,"2007-10-11 12:40:50","2007-10-12 05:59:16"
"J. Alroy","E. Leckey","E. Leckey",12476,R.,Ziegler,T.,Mors,,2000,"Marsupialia, Lipotyphla und Chiroptera (Mammalia) aus dem Miozan des Braunkohlentagebaus Hambach (Niederrheinische Bucht, NW-Deutschland)","Palaeontographica Abteilung A",,257,1-3,1,26,"journal article","stated without evidence",German,,,,,"2005-01-27 13:16:15","2005-01-28 08:16:15"
"P. Holroyd","P. Holroyd",,60047,F.,"de Broin",,,,1977,"Contribution a l'etude des Cheloniens. Cheloniens continentaux due Cretace et du Tertiare de France","Memoires du Museum National d'Histoire Naturelle, Nouvelle Serie, Serie C, Sciences de la terre",,38,,1,366,"serial monograph","stated with evidence",English,,,,,"2016-08-03 20:21:36","2016-08-04 11:21:36"
"M. Carrano","M. Carrano",,51771,"L. F.","du Pauw",,,,1902,,"Notes sur les Fouilles du Charbonnage de Bernissart. Découverte, Solidification et Montage des Iguanodons [Notes on the excavations of the Bernissart coal mine. Discovery, solidification, and mounting of the Iguanodons]",,,,1,25,"serial monograph","stated without evidence",French,,,,,"2014-06-16 14:22:31","2014-06-17 05:22:31"
